Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
N. Topor-Stanley,Nikolai Topor-Stanley,64,64,100000,CB,CB,Australia,37,189,86,1469,316,Western United FC
A. Gürleyen,Ahmet Gürleyen,64,72,1200000,CB,CB,Germany,23,193,93,1434,318,SV Wehen Wiesbaden
Jordi Sánchez,Jordi Sánchez Ribas,64,65,675000,ST,ST,Spain,27,190,86,1484,332,Widzew Łódź
S. Plechaty,Sandro Plechaty,64,68,775000,RB,RM,Germany,24,177,75,1720,376,Rot-Weiß Essen
O. Gaona Lugo,Orlando Gaona Lugo,64,64,475000,"RM,LM,RW",RM,Paraguay,31,176,79,1716,363,Club Nacional
C. Meza,Carlos Daniel Meza,64,74,1200000,"CDM,RM,RW",CDM,Peru,20,166,63,1716,372,Ayacucho
E. Moreno,Ederson Moreno,64,64,525000,"CDM,CM",CDM,Colombia,28,176,68,1720,369,La Equidad
L. Nilsen,Lasse Nilsen,64,64,575000,"LWB,LM",LWB,Norway,27,180,78,1678,372,Tromsø IL
A. Oguns,Ade Oguns,64,77,1400000,"ST,RM",ST,Nigeria,21,179,81,1604,348,Caracas Fútbol Club
A. O'Connor,Anthony O'Connor,64,64,500000,CB,CB,Republic of Ireland,29,188,80,1647,351,Morecambe
A. Stahl,Albert Stahl,64,71,1200000,"RM,LM,ST",RM,Romania,23,180,69,1647,362,AFC UTA Arad
V. Damascan,Vitalie Damascan,64,71,1200000,"ST,RW",ST,Moldova,23,180,74,1601,344,FC Voluntari
M. Monsalve,Miguel Monsalve,64,81,1500000,CAM,CAM,Colombia,18,177,73,1520,320,Independiente Medellín
K. Schur,Kévin Schur,64,64,425000,"RWB,LWB,LM",RWB,France,31,179,76,1794,387,SC Bastia
Obrador,Rafael Obrador Burguera,64,80,1400000,LB,LB,Spain,18,182,69,1495,335,Real Madrid CF
T. Mickel,Tom Mickel,64,64,190000,GK,GK,Germany,33,185,84,1096,362,Hamburger SV
L. Fülöp,Loránd Fülöp,64,69,875000,"CAM,CF,ST",RM,Romania,24,180,76,1715,365,Universitatea Cluj
A. Sarmiento,Andrés Sarmiento,64,69,875000,"LW,RW",RM,Colombia,24,178,60,1542,338,FC Vizela
M. Oikonomou,Marios Oikonomou,64,64,500000,CB,CB,Greece,29,189,85,1357,303,F.C. København
F. Černych,Fedor Černych,64,64,500000,"ST,LM,CF",RW,Lithuania,31,183,75,1625,352,Jagiellonia Białystok
H. Pell,Harry Pell,64,64,550000,CM,CDM,England,30,193,85,1710,371,AFC Wimbledon
P. Therkildsen,Peter Therkildsen,64,70,875000,"RB,CM,RM",RWB,Denmark,24,190,76,1666,367,FK Haugesund
Y. Songo'o,Yann Songo'o,64,64,475000,"CB,CDM",CB,Cameroon,30,185,77,1604,333,Bradford City
J. Rodríguez,Jonathan Rodríguez,64,64,400000,"CDM,CM",CM,Argentina,32,173,67,1846,377,Sepsi OSK Sf. Gheorghe
B. Williams,Ben Williams,64,70,875000,LWB,LWB,Wales,23,178,75,1627,354,Cheltenham Town
T. Jacobsen,Thore Jacobsen,64,67,700000,CDM,LWB,Germany,25,182,76,1703,374,SV Elversberg
P. Martino,Pietro Martino,64,68,775000,RB,RB,Italy,24,178,75,1615,340,Cosenza
P. Clarke,Peter Clarke,64,64,0,CB,CB,England,40,183,83,1468,299,Walsall
A. Colassin,Antoine Colassin,64,73,1300000,"ST,CAM",ST,Belgium,21,188,82,1515,332,SC Heerenveen
A. Ba Masoud,Ahmed Ba Masoud,64,67,700000,"LB,LM",LWB,Saudi Arabia,26,175,70,1670,365,Al Ittihad
G. Kiltie,Greg Kiltie,64,65,700000,"CAM,RM,LM",CAM,Scotland,25,173,70,1652,357,St. Mirren
M. Trojak,Miłosz Trojak,64,65,575000,"CDM,CB",CB,Poland,28,191,81,1669,355,Korona Kielce
O. Beckles,Omar Beckles,64,64,475000,CB,CB,Grenada,30,191,80,1501,328,Leyton Orient
D. Browne,David Browne,64,65,700000,"LW,RM",LW,Papua New Guinea,26,175,67,1596,345,HJK Helsinki
Li Shuai,Shuai Li,64,64,600000,LM,LM,China PR,28,174,68,1700,365,Meizhou Hakka
A. Abeid,Aly Abeid,64,68,775000,LB,LB,Mauritania,24,174,73,1628,358,AFC UTA Arad
N. Kirwan,Niko Kirwan,64,64,0,"RB,LB,RM",RB,New Zealand,26,186,73,1678,368,Free agent
B. Adekanye,Bobby Adekanye,64,71,1200000,RM,LM,Netherlands,23,175,70,1566,345,Go Ahead Eagles
P. O'Connor,Paudie O'Connor,64,67,725000,CB,CB,Republic of Ireland,24,191,77,1407,304,Lincoln City
I. Knezevic,Ivan Knezevic,64,64,600000,"CAM,RM",RW,Germany,28,174,67,1622,341,FC Erzgebirge Aue
S. Hoare,Seán Hoare,64,66,600000,CB,CB,Republic of Ireland,28,189,75,1546,326,Shamrock Rovers
C. Panico,Ciro Panico,64,70,875000,LB,LB,Italy,22,170,72,1582,340,Cosenza
E. Mancuso,Eros Mancuso,64,72,1200000,RB,RWB,Argentina,23,171,72,1615,349,Estudiantes de La Plata
P. Zieliński,Paweł Zieliński,64,64,425000,"RWB,RM",RWB,Poland,31,178,79,1683,368,Widzew Łódź
S. Seddon,Steve Seddon,64,67,750000,LB,LWB,England,24,179,68,1728,361,Oxford United
M. Mawa,Moses Mawa,64,66,750000,ST,ST,Norway,25,185,75,1641,365,Kristiansund BK
A. Robles,Andrés Robles,64,66,600000,CB,CB,Chile,28,185,87,1615,344,CD Antofagasta
K. Tobiasz,Kacper Tobiasz,64,78,1200000,GK,GK,Poland,19,191,80,898,338,Legia Warszawa
F. Oncoy,Freddy Oncoy,64,73,1200000,"CDM,CM",CM,Peru,21,182,82,1724,371,FBC Melgar
R. Al Hajj,Rami Al Hajj,64,76,1400000,"CAM,CM",CAM,Sweden,20,180,75,1689,363,SC Heerenveen
M. Ambrose,Mikey Ambrose,64,64,525000,"LB,LM",LB,United States,28,173,72,1623,347,Atlanta United
M. Funk,Marius Funk,64,67,600000,GK,GK,Germany,26,187,88,989,356,FC Ingolstadt 04
C. Bradley,Conor Bradley,64,82,1400000,RWB,RWB,Northern Ireland,18,181,71,1589,357,Bolton Wanderers
David Sousa,David Sousa Albino,64,73,1200000,CB,CB,Brazil,20,192,78,1435,319,KSV Cercle Brugge
M. Wolfram,Maximilian Wolfram,64,67,775000,"RW,ST,LW",CAM,Germany,25,186,81,1703,364,Sportclub Verl
D. Zalazar,David Zalazar,64,74,1300000,LM,CAM,Argentina,20,173,68,1671,357,Argentinos Juniors
N. Stosic,Nikola Stosic,64,71,1100000,"CDM,CM",CDM,Austria,22,180,76,1712,378,SV Ried
O. Labrador,Omar Labrador,64,64,500000,"LB,LWB",LB,Venezuela,30,170,68,1461,313,Estudiantes de Mérida
M. Venturi,Michael Venturi,64,72,1200000,CB,CB,Italy,23,193,80,1625,348,Cosenza
P. Diaw,Pape Djibril Diaw,64,66,625000,CB,CB,Senegal,27,196,91,1451,315,Stade Lavallois Mayenne FC
E. Binaku,Egzon Binaku,64,65,625000,"LWB,LB",LWB,Albania,26,185,70,1594,359,IFK Norrköping
J. James,Jeremías James,64,76,1400000,CB,CB,Argentina,21,191,83,1389,298,San Lorenzo de Almagro
O. Fané,Ousmane Fané,64,64,525000,CDM,CDM,France,28,193,80,1595,354,Morecambe
S. Breza,Sebastian Breza,64,68,675000,GK,GK,Canada,24,193,87,997,343,Club de Foot Montréal
R. Robinson,Robbie Robinson,64,72,1300000,"LM,ST",ST,United States,23,185,77,1566,350,Inter Miami CF
A. Ibrahim,Abbas Ibrahim,64,71,1100000,"CDM,CM",CDM,Nigeria,24,171,65,1692,352,FC Paços de Ferreira
G. Ganea,George Ganea,64,72,1300000,"ST,RW,LW",ST,Romania,23,180,75,1633,356,FC U Craiova 1948
M. Mancienne,Michael Mancienne,64,64,200000,"CDM,CM",CB,England,34,186,86,1586,336,Burton Albion
Ma Sang Hoon,Sang Hoon Ma,64,64,475000,CB,CB,Korea Republic,30,182,84,1411,297,Seongnam FC
Alex,Alex De Lima,64,64,350000,"CM,CAM",LM,Brazil,33,173,75,1787,387,SC East Bengal FC
D. Becker,Dominik Becker,64,71,1100000,"CB,RB",CB,Germany,22,188,75,1497,331,1. FC Saarbrücken
J. Marquis,John Marquis,64,64,575000,ST,ST,England,30,185,73,1704,355,Bristol Rovers
A. Bone,Adrián Bone,64,64,190000,GK,GK,Ecuador,33,189,89,1037,349,CS Emelec
F. Redondo,Federico Redondo,64,78,1300000,CDM,CDM,Spain,19,190,75,1751,374,Argentinos Juniors
M. Solbakken,Markus Solbakken,64,75,1300000,"CM,CDM",RM,Norway,21,182,70,1766,386,Viking FK
E. Schreiner,Emanuel Schreiner,64,64,300000,"LB,LWB",LB,Austria,33,180,74,1778,380,SC Rheindorf Altach
Íñigo,Íñigo Sainz-Maza Serna,64,70,850000,"CDM,RB,CM",RWB,Spain,24,181,71,1622,353,Racing Santander
R. Hendry,Regan Hendry,64,68,825000,CM,CAM,Scotland,24,176,73,1800,379,Forest Green Rovers
W. Balikwisha,William Balikwisha,64,69,875000,"RM,LM",RM,Congo DR,23,173,67,1560,334,Standard de Liège
Y. Cassubie,Yohan Cassubie,64,71,1100000,"CDM,CM,RB",CDM,France,21,184,78,1645,370,Chamois Niortais Football Club
A. Leifsson,Ari Leifsson,64,71,1100000,CB,CB,Iceland,23,193,80,1471,322,Strømsgodset IF
Javi Cueto,Javier Cueto Suárez,64,76,1400000,ST,ST,Spain,21,180,75,1599,338,Atlético de Madrid
T. King,Tom King,64,64,450000,GK,GK,Wales,27,194,80,1122,357,Salford City
T. Aasgaard,Thelo Aasgaard,64,74,1300000,CAM,CAM,Norway,20,170,72,1651,348,Wigan Athletic
A. Ławniczak,Aleks Ławniczak,64,72,1200000,CB,CB,Poland,23,189,87,1396,322,Zagłębie Lubin
C. Menacho,César Menacho,64,71,1200000,RM,RM,Bolivia,22,182,75,1579,347,Club Deportivo Jorge Wilstermann
I. Wadji,Ibrahima Wadji,64,65,675000,ST,ST,Senegal,27,175,74,1645,359,AS Saint-Étienne
M. Dombrowka,Max Dombrowka,64,64,500000,"LB,RB,CDM",LB,Germany,30,180,77,1516,341,SV Meppen
C. Bramall,Cohen Bramall,64,67,700000,"LWB,LB",LM,England,26,178,72,1750,380,Rotherham United
K. Danielak,Karol Danielak,64,64,575000,"RM,CF,RWB",RM,Poland,30,170,66,1727,365,Widzew Łódź
A. Giménez,Aquilino Giménez,64,64,525000,RB,RB,Paraguay,29,175,80,1445,327,Guaireña FC
O. Traoré,Omar Haktab Traoré,64,68,775000,RB,RB,Germany,24,187,77,1643,367,VfL Osnabrück
P. Madden,Paddy Madden,64,64,475000,ST,ST,Republic of Ireland,32,183,76,1689,354,Stockport County
O. Cooper,Oliver Cooper,64,74,1300000,"CAM,CM",CAM,Wales,22,174,65,1703,360,Swansea City
Flávio Triginho,Flávio Leôncio Trigo Sacramento,64,64,650000,ST,CF,Brazil,26,173,66,1610,336,América Futebol Clube
M. Knudsen,Magnus Knudsen,64,76,1400000,CM,CM,Norway,21,183,69,1695,365,Lillestrøm SK
D. Bettella,Davide Bettella,64,75,1200000,CB,CB,Italy,22,185,75,1365,291,Palermo
J. Kiełb,Jakub Kiełb,64,64,525000,"LWB,LM,CF",LWB,Poland,28,176,73,1657,350,Warta Poznań
M. Abubakari,Malik Abubakari,64,73,1300000,ST,ST,Ghana,22,184,82,1624,349,HJK Helsinki
A. Bass,Alex Bass,64,68,675000,GK,GK,England,24,191,70,1236,375,Sunderland
D. Eid,Daniel Eid,64,72,1200000,"RWB,RB",RWB,Norway,23,183,73,1677,370,IFK Norrköping
Javi Gómez,Javier Gómez Castroverde,64,73,1300000,"LM,CAM,RM",CAM,Spain,23,178,66,1577,335,RC Celta de Vigo
H. Saghiri,Hamza Saghiri,64,68,750000,"CDM,CM",CDM,Germany,25,180,70,1797,378,Viktoria Köln
F. Dietz,Florian Dietz,64,70,925000,ST,ST,Germany,23,190,78,1502,332,1. FC Köln
R. Ziegele,Robin Ziegele,64,69,775000,CB,CB,Germany,25,186,81,1456,319,FSV Zwickau
R. Jensen,Richard Jensen,64,67,675000,CB,CB,Finland,26,185,78,1623,347,Górnik Zabrze
K. Rocheteau,Kévin Rocheteau,64,64,600000,"ST,LM,CAM",CF,France,28,179,71,1649,348,Chamois Niortais Football Club
Higinio,Higinio Marín Escavy,64,64,600000,ST,ST,Spain,28,184,74,1587,339,Albacete BP
K. Vinetot,Kévin Vinetot,64,64,190000,CB,CB,France,34,186,79,1485,317,Südtirol
M. Palau,Marcelo Palau,64,64,180000,"CM,CDM",CM,Uruguay,36,178,78,1814,385,Club Nacional
Nenass,Erikson Spinola Lima,64,65,625000,"CDM,CM",RWB,Cape Verde Islands,26,170,65,1772,384,Aalesunds FK
W. Díaz,William Díaz,64,64,100000,CB,CB,Venezuela,37,185,77,1406,315,Estudiantes de Mérida
J. White,Jordan White,64,64,575000,ST,ST,Scotland,30,193,77,1489,323,Ross County FC
M. Bokele,Malcom Bokele,64,73,1200000,"CB,RB",CB,Cameroon,22,189,78,1426,302,FC Girondins de Bordeaux
M. Ndione,Marokhy Ndione,64,72,1300000,ST,ST,Sweden,22,192,88,1576,341,Viborg FF
N. Barona,Neider Barona,64,67,800000,"LW,LM",RM,Colombia,24,176,72,1569,344,La Equidad
S. Nilsen,Snorre Strand Nilsen,64,66,675000,RB,RB,Norway,25,186,82,1582,348,Kristiansund BK
L. Diack,Lamine Diack,64,74,1200000,"CDM,CM",CDM,Senegal,21,186,79,1810,390,MKE Ankaragücü
K. Jensen,Kevin Jensen,64,72,1300000,LW,CAM,Sweden,21,173,64,1572,332,Kalmar FF
C. Morton,Callum Morton,64,74,1300000,"ST,LW",ST,England,22,178,65,1667,357,Fleetwood Town
C. McVey,Christopher McVey,64,69,775000,"CB,LB,RB",CB,Sweden,25,192,80,1569,343,Inter Miami CF
A. Mehremić,Adi Mehremić,64,64,475000,CB,CB,Bosnia and Herzegovina,30,189,85,1504,339,İstanbulspor
T. Mrčela,Tomislav Mrčela,64,64,400000,CB,CB,Australia,31,195,88,1365,303,Western Sydney Wanderers
E. Rodríguez,Edemir Rodríguez,64,64,100000,"CB,RB",CB,Bolivia,37,176,70,1748,356,Club Deportivo Jorge Wilstermann
L. Schuster,Lion Schuster,64,74,1200000,"CDM,CM",CB,Austria,21,183,72,1670,361,SK Rapid Wien
R. Ndiaye,Rassoul Ndiaye,64,81,1500000,"CDM,CM",CDM,France,20,179,70,1713,370,FC Sochaux-Montbéliard
T. Totland,Tomas Totland,64,72,1200000,"RB,LB",RWB,Norway,23,181,74,1568,346,BK Häcken
T. Gebauer,Thomas Gebauer,64,64,60000,GK,GK,Austria,40,193,88,1082,350,LASK Linz
G. Giménez,Gustavo Giménez,64,64,180000,RB,RB,Paraguay,35,176,74,1516,325,Club Sol de América
M. Fracchia,Matías Fracchia,64,65,625000,"LB,CB",CB,Chile,26,188,84,1601,344,Montevideo Wanderers
A. Papetti,Andrea Papetti,64,78,1300000,CB,CB,Italy,19,186,84,1543,343,Brescia
F. Horsfall,Fraser Horsfall,64,66,650000,CB,CB,England,25,190,82,1432,313,Stockport County
R. Poole,Regan Poole,64,71,1100000,"CB,RB",CB,Wales,24,184,74,1617,346,Lincoln City
K. Al Ghamdi,Khalid Al Ghamdi,64,64,210000,RB,RB,Saudi Arabia,34,166,63,1671,359,Al Shabab
O. Vargas,Obed Vargas,64,81,1500000,"CM,CDM,RM",CAM,United States,16,175,68,1660,353,Seattle Sounders FC
A. Sejdič,Amar Sejdič,64,66,725000,"CM,CAM,CDM",CM,Germany,25,178,72,1717,361,Atlanta United
M. Borgogno,Matías Borgogno,64,71,1000000,GK,GK,Argentina,23,187,74,1124,355,Vélez Sarsfield
M. Real,Matt Real,64,71,1100000,"LB,CDM",LB,United States,22,180,73,1596,352,Philadelphia Union
J. Penrice,James Penrice,64,69,825000,LB,LB,Scotland,23,177,73,1739,369,Livingston FC
R. Popa,Robert Popa,64,77,1200000,GK,GK,Romania,19,190,83,986,365,FC U Craiova 1948
D. Mikić,Daniel Mikić,64,64,500000,CB,CB,Germany,29,180,75,1497,336,Sportclub Verl
D. Quaranta,Danilo Quaranta,64,69,775000,"CB,LB",CB,Italy,25,191,81,1482,321,Ascoli
S. Jhingan,Sandesh Jhingan,64,65,550000,CB,CB,India,28,188,80,1452,317,Bengaluru FC
Duk,Luis Lopes,64,74,1300000,ST,ST,Cape Verde Islands,22,182,75,1586,340,Aberdeen
J. Granados,José Luis Granados,64,64,180000,"LB,LWB,CB",LB,Venezuela,35,189,72,1630,349,Hermanos Colmenarez
J. Bakker,Justin Bakker,64,71,1100000,CB,CB,Netherlands,24,189,74,1780,370,Go Ahead Eagles
J. Opoku,Jerome Opoku,64,70,850000,CB,CB,England,23,195,79,1620,351,FC Arouca
S. Shoretire,Shola Shoretire,64,83,1500000,"RM,CAM,CM",CAM,England,18,175,70,1637,354,Manchester United
F. Paghera,Fabrizio Paghera,64,64,550000,"CM,CDM",CM,Italy,30,170,62,1741,359,Ternana
J. Arweiler,Jonas Arweiler,64,68,825000,ST,ST,Germany,25,188,79,1532,320,SK Austria Klagenfurt
S. O'Keefe,Stuart O'Keefe,64,64,475000,"CM,CDM",CDM,England,31,173,64,1745,362,Gillingham
J. Grzesik,Jan Grzesik,64,64,625000,RM,RM,Poland,27,178,70,1720,373,Warta Poznań
M. Soisalo,Mikael Soisalo,64,70,0,"RM,LM",RM,Finland,24,181,75,1544,338,Free agent
Hong Jeong Un,Jeong Un Hong,64,67,675000,CB,CB,Korea Republic,27,187,76,1587,334,Daegu FC
I. Abdulrazak,Ishaq Abdulrazak,64,76,1400000,"CM,RWB,RM",RM,Nigeria,20,175,74,1773,389,RSC Anderlecht
P. Dwomoh,Pierre Dwomoh,64,82,1500000,"CAM,CM",CAM,Belgium,18,188,69,1711,376,SC Braga
R. Schlegel,Rodrigo Schlegel,64,71,1100000,CB,CB,Argentina,25,180,82,1435,302,Orlando City Soccer Club
T. Watson,Tennai Watson,64,67,725000,RWB,RWB,England,25,183,73,1592,350,Milton Keynes Dons
P. Slišković,Petar Slišković,64,64,500000,ST,ST,Croatia,31,193,90,1511,328,Chennaiyin FC
Ö. Beyaz,Ömer Beyaz,64,79,1400000,"CAM,CM",CAM,Turkey,18,171,65,1647,340,1. FC Magdeburg
M. Kos,Mirko Kos,64,68,650000,GK,GK,Austria,25,183,80,1008,352,FK Austria Wien
Koo Ja Ryong,Ja Ryong Koo,64,64,475000,CB,CB,Korea Republic,30,182,75,1490,321,Jeonbuk Hyundai Motors
O. Hutchinson,Omari Hutchinson,64,81,1500000,"CAM,RM",CAM,Jamaica,18,174,65,1621,345,Chelsea
G. Konstantelias,Giannis Konstantelias,64,81,1500000,"CAM,RW",CAM,Greece,19,178,65,1585,336,PAOK
C. Eriksson,Carljohan Eriksson,64,67,575000,GK,GK,Finland,27,191,81,1019,370,Dundee United
L. Emini,Lorik Emini,64,73,1300000,"CM,CDM",CDM,Switzerland,22,176,74,1760,371,FC Luzern
Julio Alonso,Julio Alonso Sosa,64,73,1200000,"LB,RB",LB,Spain,23,171,62,1576,338,Albacete BP
A. Calcan,Andreias Calcan,64,64,600000,"LW,LM,CAM",LW,Romania,28,172,76,1663,356,Campionii FC Arges
J. Mina,Juan José Mina,64,84,1500000,RB,RB,Colombia,17,179,78,1582,347,Deportivo Cali
Gori,Gregorio Gracia Sánchez,64,76,1400000,"CM,CAM",CAM,Spain,20,172,62,1785,375,RCD Espanyol de Barcelona
C. Patino,Charlie Patino,64,85,1900000,"CM,CDM",CM,England,18,182,75,1699,359,Blackpool
L. Bernadou,Lucas Bernadou,64,70,925000,"CM,CAM,CDM",CM,France,21,178,65,1685,349,FC Emmen
J. Shehu,Juljan Shehu,64,68,775000,"CDM,CM",CDM,Albania,23,183,76,1650,349,Widzew Łódź
Aurtenetxe,Jon Aurtenetxe Borde,64,64,475000,CB,CB,Spain,30,182,82,1728,363,Miedź Legnica
Guilherme Garutti,Guilherme Gomes Garutti,64,65,550000,CB,CB,Brazil,28,192,86,1515,327,CS Mioveni
C. Lungoyi,Christopher Lungoyi,64,75,1300000,"ST,RW",ST,Switzerland,21,182,74,1661,364,Ascoli
B. Traoré,Boubacar Traoré,64,75,1300000,"CM,CDM",CDM,Mali,20,183,67,1721,362,Wolverhampton Wanderers
G. Poluzzi,Giacomo Poluzzi,64,64,100000,GK,GK,Italy,34,186,74,931,347,Südtirol
Mika Mármol,Mika Mármol Medina,64,77,1400000,"CB,LB",CB,Spain,21,182,72,1620,356,FC Andorra
R. Hassan,Rilwan Hassan,64,64,475000,"RW,LW,CAM",RW,Nigeria,31,172,64,1741,371,Hamarkameratene
R. Ramírez,Roberto Ramírez,64,67,600000,GK,GK,Argentina,25,187,73,1167,361,Godoy Cruz
Pedro Martín,Pedro José Martín Moreno,64,64,575000,"ST,RM,CAM",ST,Spain,30,189,81,1725,372,Odisha FC
I. Young,Isaiah Young,64,69,875000,"LM,RM,ST",RM,United States,24,181,68,1641,359,Rot-Weiß Essen
K. De Winter,Koni De Winter,64,79,1300000,"CB,RB",CB,Belgium,20,191,75,1580,341,Empoli
S. Panada,Simone Panada,64,74,1200000,CDM,CDM,Italy,20,175,72,1753,372,Modena
T. Oshima,Takuto Oshima,64,70,925000,"CAM,CM",CAM,Japan,24,174,71,1651,348,Cracovia
Goh Young Jun,Young Jun Goh,64,78,1400000,"CAM,LM",RM,Korea Republic,20,168,69,1610,341,Pohang Steelers
N. Netabay,Nahom Girmai Netabay,64,64,625000,"CM,CAM,CF",CM,Sweden,27,172,68,1762,375,Kalmar FF
J. Gibson,Jordan Gibson,64,69,875000,"RM,CM",RM,England,24,178,80,1667,368,Carlisle United
J. Walsh,Joe Walsh,64,64,475000,CB,CB,Wales,30,182,70,1588,337,Lincoln City
J. Enkerud,Jonas Enkerud,64,64,475000,"ST,LW",ST,Norway,32,190,81,1529,335,Hamarkameratene
A. Fofana,Adama Fofana,64,71,1100000,"LB,LWB,LM",LWB,Côte d'Ivoire,22,173,63,1645,364,Dijon FCO
R. Gómez,Richet Gómez,64,73,1200000,"CDM,CB",CDM,Bolivia,21,180,75,1689,362,Club The Strongest
J. Hill,James Hill,64,77,1300000,CB,CB,England,20,184,73,1445,315,AFC Bournemouth
U. Fredriksen,Ulrik Fredriksen,64,72,1200000,"CB,RB",CB,Norway,23,189,89,1443,315,FK Haugesund
S. Reese,Søren Reese,64,64,500000,CB,CB,Denmark,28,186,79,1521,323,FK Haugesund
A. Bordón,Axel Bordón,64,67,700000,"RB,RWB",CB,Argentina,26,173,75,1574,340,Barracas Central
J. Silva,Joaquín Silva,64,70,750000,GK,GK,Uruguay,24,196,98,917,340,Cerro Largo Fútbol Club
Migue Leal,Miguel Ángel Leal Díaz,64,68,750000,"RB,RM",RB,Spain,25,176,71,1665,355,Villarreal Club de Fútbol B
I. Rozas,Ivan Rozas,64,68,850000,"RW,CM",CAM,Chile,24,178,79,1653,359,Deportivo Ñublense
P. Olszewski,Paweł Olszewski,64,72,1200000,"RWB,RB",RWB,Poland,23,178,68,1560,350,Jagiellonia Białystok
O. Ademi,Orhan Ademi,64,64,575000,ST,ST,Switzerland,30,188,86,1577,341,AFC UTA Arad
Alberto,Alberto Rodríguez Martín,64,65,550000,CB,CB,Spain,29,191,92,1503,316,CD Lugo
J. Randall,Joel Randall,64,72,1300000,"LM,CAM",RM,England,22,177,66,1555,337,Peterborough United
E. Masciangelo,Edoardo Masciangelo,64,66,675000,LB,LB,Italy,25,177,69,1624,349,Benevento
F. Greilinger,Fabian Greilinger,64,75,1300000,"LB,LM,RM",LM,Germany,21,175,68,1639,363,TSV 1860 München
P. Krätschmer,Pius Krätschmer,64,67,725000,"LWB,CB,LM",LWB,Germany,25,187,82,1703,366,1. FC Saarbrücken
Alberto Toril,Alberto Toril Domingo,64,66,750000,ST,ST,Spain,25,185,80,1501,320,Piast Gliwice
A. Jakolis,Antonio Jakolis,64,64,500000,"RB,RM,RW",CAM,Croatia,30,175,67,1771,382,Campionii FC Arges
Abel Bretones,Abel Bretones Cruz,64,76,1400000,"LM,LB",ST,Spain,21,186,78,1720,375,Real Oviedo
A. Gersbach,Alex Gersbach,64,68,750000,"LB,LWB",LB,Australia,25,183,73,1643,362,Grenoble Foot 38
S. McWilliams,Shaun McWilliams,64,69,800000,"CDM,CM",CB,England,23,180,69,1740,373,Northampton Town
E. Robson,Ethan Robson,64,69,850000,"CM,CDM",CM,England,25,178,73,1739,371,Milton Keynes Dons
Ricardo Fernandes,Ricardo José da Silva Fernandes,64,67,575000,GK,GK,Portugal,27,193,85,896,337,Santa Clara
N. Lang,Niklas Lang,64,79,1300000,CB,CB,Germany,20,185,78,1409,310,TSV 1860 München
J. Jiménez,Joel Jiménez,64,67,725000,LB,LB,Paraguay,25,179,82,1463,321,Guaireña FC
E. Kachunga,Elias Kachunga,64,64,575000,"RW,ST",RW,Congo DR,30,178,74,1749,368,Bolton Wanderers
A. Vlad,Alexandru Vlad,64,64,400000,"LWB,LM",LWB,Romania,32,174,70,1734,369,FC Voluntari
L. Samson,Louis Samson,64,65,625000,"CDM,CB",CB,Germany,26,190,81,1543,347,Hallescher FC
K. Niemczycki,Karol Niemczycki,64,73,1100000,GK,GK,Poland,22,190,84,927,350,Cracovia
G. Felicioli,Gian Filippo Felicioli,64,69,825000,LB,LM,Italy,24,180,77,1750,369,Cittadella
Z. McGraw,Zac McGraw,64,70,825000,CB,CB,United States,25,193,93,1558,343,Portland Timbers
H. Matynia,Hubert Matynia,64,65,625000,LB,LB,Poland,26,182,73,1660,353,Miedź Legnica
J. Diamond,Jack Diamond,64,76,1400000,"LW,CAM,LM",RM,England,22,175,66,1621,356,Lincoln City
E. Taffertshofer,Emanuel Taffertshofer,64,66,625000,"CDM,CM",CDM,Germany,27,174,71,1654,350,SV Wehen Wiesbaden
B. Cargill,Baily Cargill,64,65,600000,CB,CB,England,26,189,87,1580,346,Forest Green Rovers
Álex Pastor,Álex Pastor Carayol,64,76,1400000,CB,CB,Spain,22,186,79,1454,323,FC Andorra
A. Paulsen,Alex Paulsen,64,79,1200000,GK,GK,New Zealand,19,187,80,1273,363,Wellington Phoenix
V. Moren,Valtteri Moren,64,64,400000,CB,CB,Finland,31,188,76,1353,280,HJK Helsinki
Bi Jinhao,Jinhao Bi,64,64,400000,"CB,ST",CB,China PR,31,190,75,1768,373,Shanghai Shenhua FC
M. Reinthaler,Max Reinthaler,64,66,625000,CB,CB,Italy,27,193,83,1602,353,SV Wehen Wiesbaden
H. Manzala,Harrison Manzala,64,64,600000,"LM,RM",LM,Congo DR,28,177,71,1698,354,Petrolul Ploiești
L. Vigouroux,Lawrence Vigouroux,64,65,475000,GK,GK,Chile,28,194,77,1136,362,Leyton Orient
E. Velasco,Elvis Kevin Velasco,64,69,900000,"LM,CAM",CAM,Ecuador,22,166,63,1770,376,Mushuc Runa
T. Simpson,Tyreece Simpson,64,76,1400000,ST,ST,England,20,186,81,1511,335,Huddersfield Town
A. Hellborg,Adam Hellborg,64,67,725000,"CDM,CM",CDM,Sweden,23,188,79,1651,352,IK Sirius
Nito Carbelho,Nito Wagner Carbelho Inácio,64,64,575000,"ST,CAM",CF,Brazil,30,181,75,1655,352,Fluminense
T. Sandoval,Tomás Sandoval,64,69,900000,ST,ST,Argentina,23,185,71,1512,333,Club Atlético Colón
A. Blomqvist,Alexander Blomqvist,64,66,625000,CB,CB,Sweden,27,185,79,1517,330,GIF Sundsvall
R. Sjöstedt,Rasmus Sjöstedt,64,64,475000,CB,CB,Sweden,30,184,75,1622,357,Kalmar FF
